"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","8356 84716 8927 5023527","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","0AD99D8356E7C72ED3A4B286B4ED84716A8927B1_Windows11.0-KB5023527-x64-baseless.cab","92871","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4f837508-68fd-47ce-8f08-9e6ffdb7847c/public/windows11.0-kb5023527-x64-baseless_0ad99d8356e7c72ed3a4b286b4ed84716a8927b1.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4f837508-68fd-47ce-8f08-9e6ffdb7847c/public/windows11.0-kb5023527-x64-baseless_0ad99d8356e7c72ed3a4b286b4ed84716a8927b1.cab","10 217 157 131 86 231 199 46 211 164 178 134 180 237 132 113 106 137 39 177","170 195 169 72 222 188 176 61 187 224 126 82 125 4 181 178 121 62 143 228 88 192 201 127 162 222 129 61 28 93 253 196","","","c9bef82e-30c5-4d73-a4e5-6c0e993a16b4","Windows 11 22H2","c9bef82e-30c5-4d73-a4e5-6c0e993a16b4"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","23003 543266 4526","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","None","13E91E8E23003AC20CF1E15B5D7F543266BE4526_DesktopDeployment.cab","5330631","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/181b068d-afe1-4a41-984d-a24051ea4455/public/desktopdeployment_13e91e8e23003ac20cf1e15b5d7f543266be4526.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/181b068d-afe1-4a41-984d-a24051ea4455/public/desktopdeployment_13e91e8e23003ac20cf1e15b5d7f543266be4526.cab","19 233 30 142 35 0 58 194 12 241 225 91 93 127 84 50 102 190 69 38","195 243 218 226 17 86 121 186 52 225 39 234 93 54 178 163 181 89 64 83 124 84 80 120 230 15 86 132 221 254 188 55","","","ec296602-53df-422c-83fe-311c12e9791e","Windows 11 22H2","ec296602-53df-422c-83fe-311c12e9791e"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","3294 9937 7337834 21943","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","3294AF9937B733783476DA837B21943DC160FAAA_FeatureOnDemand.wim","6026932616","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/8a3ac009-3385-411e-833e-212c9b6f86d3/public/featureondemand_3294af9937b733783476da837b21943dc160faaa.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/8a3ac009-3385-411e-833e-212c9b6f86d3/public/featureondemand_3294af9937b733783476da837b21943dc160faaa.wim","50 148 175 153 55 183 51 120 52 118 218 131 123 33 148 61 193 96 250 170","188 239 184 152 126 67 104 204 67 223 64 208 210 247 59 154 182 64 74 245 252 31 110 13 75 69 29 21 227 218 90 19","","","3184a1a4-7441-4d3d-a10e-0929724e273f","Windows 11 22H2","3184a1a4-7441-4d3d-a10e-0929724e273f"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","49185 6111 6487013 1078 9735054 97250","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","None","3B0C49185BA6111F26C6487013945D1078E146AF_97350548-a899-4e65-ac73-aa97250bd67f_Wsus.AggregatedMetadata.cab","2321981","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/2af88b6e-490d-4ea8-a3e5-409dd09b8262/public/97350548-a899-4e65-ac73-aa97250bd67f_wsus.aggregatedmetadata_3b0c49185ba6111f26c6487013945d1078e146af.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/2af88b6e-490d-4ea8-a3e5-409dd09b8262/public/97350548-a899-4e65-ac73-aa97250bd67f_wsus.aggregatedmetadata_3b0c49185ba6111f26c6487013945d1078e146af.cab","59 12 73 24 91 166 17 31 38 198 72 112 19 148 93 16 120 225 70 175","55 46 112 48 14 158 47 129 230 206 132 28 21 130 210 17 119 239 191 197 231 215 109 228 124 115 28 197 147 138 222 123","","","48c9c009-05d7-4f37-a293-89c875a1c65f","Windows 11 22H2","48c9c009-05d7-4f37-a293-89c875a1c65f"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","7158195 6771132 2179115 3264","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","792B7158195BD67711324CD21791150C5A8B3264_FoDMetadata_Client.cab","423321","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/6154c6f8-b347-4928-8d96-8d185ef53f55/public/fodmetadata_client_792b7158195bd67711324cd21791150c5a8b3264.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/6154c6f8-b347-4928-8d96-8d185ef53f55/public/fodmetadata_client_792b7158195bd67711324cd21791150c5a8b3264.cab","121 43 113 88 25 91 214 119 17 50 76 210 23 145 21 12 90 139 50 100","146 90 7 107 226 138 150 77 199 97 112 254 238 70 174 102 70 135 29 205 173 6 236 237 119 178 72 176 105 146 5 254","","","08f01915-755c-4faa-8277-cacf96bc24c8","Windows 11 22H2","08f01915-755c-4faa-8277-cacf96bc24c8"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","830950 6687 16959 82798 92201 5023527","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","830950F6687CC1B16959F6BFE2CE82798DF92201_Windows11.0-KB5023527-x64-baseless.psf","13804807","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/e11b070a-cc35-4bb4-b8f3-9a6d93be7664/public/windows11.0-kb5023527-x64-baseless_830950f6687cc1b16959f6bfe2ce82798df92201.psf","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/e11b070a-cc35-4bb4-b8f3-9a6d93be7664/public/windows11.0-kb5023527-x64-baseless_830950f6687cc1b16959f6bfe2ce82798df92201.psf","131 9 80 246 104 124 193 177 105 89 246 191 226 206 130 121 141 249 34 1","55 74 15 34 117 132 164 80 209 64 82 14 97 98 84 62 100 145 206 111 173 133 186 127 78 183 132 210 186 77 218 146","","","63c2c6e5-2162-4402-ab7d-911775d476b5","Windows 11 22H2","63c2c6e5-2162-4402-ab7d-911775d476b5"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","316981 6279","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","9BB203C316981BE69E7FE22DBB6279EA6C60F072_LanguagePackClient.wim","891537388","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/5d20b45d-2345-41d9-a08e-5d9b640e173b/public/languagepackclient_9bb203c316981be69e7fe22dbb6279ea6c60f072.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/5d20b45d-2345-41d9-a08e-5d9b640e173b/public/languagepackclient_9bb203c316981be69e7fe22dbb6279ea6c60f072.wim","155 178 3 195 22 152 27 230 158 127 226 45 187 98 121 234 108 96 240 114","114 237 134 16 111 94 229 95 91 98 160 44 179 28 81 162 218 47 163 124 241 30 96 150 180 207 223 57 167 79 205 44","","","127eda14-3122-4f54-a8f9-250d4aa3c392","Windows 11 22H2","127eda14-3122-4f54-a8f9-250d4aa3c392"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","5971 1246488 7861","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","B7D4CAE381A5971E5BF48A1246488C4E7861A0B0_Edition.wim","2628615197","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4d843417-b4c3-4a26-b53e-9c1394a3ed8d/public/edition_b7d4cae381a5971e5bf48a1246488c4e7861a0b0.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4d843417-b4c3-4a26-b53e-9c1394a3ed8d/public/edition_b7d4cae381a5971e5bf48a1246488c4e7861a0b0.wim","183 212 202 227 129 165 151 30 91 244 138 18 70 72 140 78 120 97 160 176","168 90 69 152 102 60 229 132 194 27 83 226 242 78 253 227 72 242 26 109 215 88 155 103 74 243 159 106 73 126 213 201","","","09eafb70-bd8c-47d0-b79c-f9dd756137c7","Windows 11 22H2","09eafb70-bd8c-47d0-b79c-f9dd756137c7"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","22621 1550","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","SSU-22621.1550-x64.cab","15868481","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/b7ffd1f3-2968-4517-9975-9dd000e9c971/public/ssu-22621.1550-x64_80a897ab6f3bbe5e9b0b7412970911a38b4ac368.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/b7ffd1f3-2968-4517-9975-9dd000e9c971/public/ssu-22621.1550-x64_80a897ab6f3bbe5e9b0b7412970911a38b4ac368.cab","128 168 151 171 111 59 190 94 155 11 116 18 151 9 17 163 139 74 195 104","164 180 134 99 192 36 141 89 92 235 186 238 70 155 63 69 77 219 59 133 79 98 47 120 175 227 169 14 105 201 97 129","","","faaa8c13-bbff-43db-85ff-b5252a86fc78","Windows 11 22H2","faaa8c13-bbff-43db-85ff-b5252a86fc78"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","22621 1550","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","SSU-22621.1550-x64.psf","20366898","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/d29b244a-fb1c-4874-bcf6-4a3e1bb36c61/public/ssu-22621.1550-x64_6188ddb70775704aac65159be0f88be7d1e3cf98.psf","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/d29b244a-fb1c-4874-bcf6-4a3e1bb36c61/public/ssu-22621.1550-x64_6188ddb70775704aac65159be0f88be7d1e3cf98.psf","97 136 221 183 7 117 112 74 172 101 21 155 224 248 139 231 209 227 207 152","217 130 76 176 31 68 150 245 14 189 81 55 231 41 129 167 145 250 92 173 35 229 43 225 164 224 126 16 70 219 242 102","","","c7f3b2e7-e16f-47d1-aae7-9b0caf5b1396","Windows 11 22H2","c7f3b2e7-e16f-47d1-aae7-9b0caf5b1396"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","22621 1550","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","SSU-22621.1550-x64-express.cab","109769","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/cc354462-f148-4ae9-ab97-5cdbb06e860a/public/ssu-22621.1550-x64-express_46514c3e6a6fc9092f7baa85227f59e8443ef4e1.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/cc354462-f148-4ae9-ab97-5cdbb06e860a/public/ssu-22621.1550-x64-express_46514c3e6a6fc9092f7baa85227f59e8443ef4e1.cab","70 81 76 62 106 111 201 9 47 123 170 133 34 127 89 232 68 62 244 225","138 164 123 250 66 227 204 10 36 160 236 181 113 120 140 239 21 162 24 154 94 165 197 63 72 26 217 108 39 253 220 239","","","d3dbe316-eddb-48d0-857f-b68d268310b4","Windows 11 22H2","d3dbe316-eddb-48d0-857f-b68d268310b4"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","5023527","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","windows11.0-kb5023527-x64.cab","680444","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/1b61039f-9deb-4375-be0e-64bc31ac9300/public/windows11.0-kb5023527-x64_076cd9782ebb8aed56ad5d99c07201035d92e66a.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/1b61039f-9deb-4375-be0e-64bc31ac9300/public/windows11.0-kb5023527-x64_076cd9782ebb8aed56ad5d99c07201035d92e66a.cab","7 108 217 120 46 187 138 237 86 173 93 153 192 114 1 3 93 146 230 106","236 0 155 217 176 36 9 64 138 171 182 53 75 101 211 193 31 184 74 18 189 0 106 137 107 142 160 27 184 152 101 114","","","0a930256-11cc-4f5b-aaab-9404f5ff220a","Windows 11 22H2","0a930256-11cc-4f5b-aaab-9404f5ff220a"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","5025239","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","Windows11.0-KB5025239-x64.cab","125001324","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/f47a805a-18d1-48b2-9b7d-24892d58301e/public/windows11.0-kb5025239-x64_160a4310610c3eadec55ff9a7dd6ec641e411523.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/f47a805a-18d1-48b2-9b7d-24892d58301e/public/windows11.0-kb5025239-x64_160a4310610c3eadec55ff9a7dd6ec641e411523.cab","22 10 67 16 97 12 62 173 236 85 255 154 125 214 236 100 30 65 21 35","111 126 231 255 236 171 63 141 113 3 110 29 7 220 161 175 57 254 178 201 35 109 34 165 106 51 184 199 131 197 193 6","","","67806292-6942-48f3-9b0b-c13a72da7935","Windows 11 22H2","67806292-6942-48f3-9b0b-c13a72da7935"
"Windows 11 22H2","23.4.11.1","","Windows 11","22H2","x64","LCU","4/11/2023 5:00:00 PM","5025239","5025239","2023-04 Cumulative Update for Windows 11 for x64-based Systems (KB5025239)","3157dbaf-04f5-49fc-baef-300bbd6d121a","UUPv1","SelfContained","Windows11.0-KB5025239-x64.psf","170303410","Microsoft","Windows","Windows 11","Security Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5025239","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/a2a92324-9444-46e6-aa26-0e9231fac5fd/public/windows11.0-kb5025239-x64_67425bb2f2561481da37d3dcf1a285f7a54f954d.psf","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/a2a92324-9444-46e6-aa26-0e9231fac5fd/public/windows11.0-kb5025239-x64_67425bb2f2561481da37d3dcf1a285f7a54f954d.psf","103 66 91 178 242 86 20 129 218 55 211 220 241 162 133 247 165 79 149 77","182 197 39 121 211 113 46 107 209 100 9 61 239 211 34 86 101 56 193 139 50 32 92 96 203 154 54 86 110 206 58 107","","","8d1383bf-9999-4903-a729-99ea692efeaf","Windows 11 22H2","8d1383bf-9999-4903-a729-99ea692efeaf"
